word	adj.all	adj.pert	adv.all	noun.Tops	noun.act	noun.animal	noun.artifact	noun.attribute	noun.body	noun.cognition	noun.communication	noun.event	noun.feeling	noun.food	noun.group	noun.location	noun.motive	noun.object	noun.person	noun.phenomenon	noun.plant	noun.possession	noun.process	noun.quantity	noun.relation	noun.shape	noun.state	noun.substance	noun.time	verb.body	verb.change	verb.cognition	verb.communication	verb.competition	verb.consumption	verb.contact	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.weather
the																																												
of																																												
and																																												
to																																												
in	1		1																																									
A																																												
be																																									1	1	1	
that																																												
for																																												
with																																												
by			1																																									
on	1		1																																									
from																																												
OR																																												
his																																												
IT																																												
AN																																												
at																								1																				
not			1																																									
which																																												
have																														1	1										1	1	1	
helium																												1																
this																																												
too																																												
their																																												
simply			1																																									
one	1									1														1																				
can							1				1													1							1													
other	1																																											
more	1		1																1																									
they																																												
use					1			1																											1							1		
first	1		1								1													1	1																			
all	1																																											
two	1																							1																				
citation						1					1																																	
than																																												
into																																												
would																																												
only			1																																									
time				1								1																	1		1	1												
WHO																																												
most	1		1																																									
whitethorn																					1																							
such	1		1																																									
some	1																																											
many	1																																											
when																																												
after	1		1																																									
between			1																																									
over			1																										1															
these																																												
her																																												
about	1		1																																									
there			1													1																												
no	1		1								1																																	
them																																												
new	1																																											
him																																												
will										1	1																					1	1											
out	1		1		1																												1											
during																																												
make																														1	1	1	1				1		1	1		1	1	
both	1																																											
then	1		1																										1															
often			1																																									
so			1																																									
any	1		1																																									
where																																												
number							1	1			1				1									1							1		1											
could																																												
main	1						1											1																										
through	1		1																																									
system							1		1	1					1													1																
people															1																1												1	
know										1																						1												
each	1		1																																									
while																													1															
if																																												
call					1					1	1																			1		1	1						1		1	1	1	
convert																			1												1		1	1										
same	1																																											
late	1		1																																									
three	1																							1																				
because																																												
well	1		1				1				1																												1					
work					1		1													1											1					1	1	1	1	1		1	1	
before																																												
under	1		1																																									
part							1		1	1	1							1							1																			
very	1		1																																									
different	1																																											
become																															1												1	
year																													1															
do											1																										1		1			1	1	
large	1		1					1																																				
example										1	1																																	
several	1																																											
city															1	1																												
early	1		1																																									
until																																												
much	1		1																					1																				
government					1					1					1																													
find																																1							1	1	1			
own	1																																								1			
since																																												
she																																												
even	1		1																												1													
form							1	1		1	1				1																1											1	1	
power								1											1	1															1									
those																																												
around			1																																									
state				1											1	1											1						1											
include																															1	1											1	
set	1				1		1			1		1			1				1										1		1		1			1	1		1					
high	1		1					1								1											1																	
life				1						1							1		1	1							1		1															
against																																												
second	1		1								1								1					1	1				1													1		
century																													1															
within																																												
world						1				1					1			1																										
still	1		1				1																								1							1						
end					1		1			1		1				1			1								1		1		1						1						1	
small	1		1					1	1																																			
name					1						1				1				1								1						1									1		
what																																												
now			1																										1															
usually																																												
without																																												
however			1																																									
begin																			1												1		1									1	1	
like	1									1																						1						1						
area							1	1	1	1						1																												
common	1																																											
water														1														1		1	1										1			
another	1																																											
way			1		1		1	1		1												1					1																	
due	1		1					1														1																						
must	1													1				1																										
long	1		1																																									
less	1		1																																									
four	1																							1																				
death					1							1							1	1							1		1															
say																											1						1											
film							1				1																						1				1							
order					1			1			1				1												1				1		1											
back	1		1		1		1		1							1			1												1								1		1	1	1	
public	1														1																													
leave											1																		1		1	1							1			1	1	
base	1						1									1		1						1		1		1															1	
few	1														1																													
give								1																						1	1	1	1		1	1	1				1	1		
country																1																												
major	1									1									1													1												
place										1	1					1											1					1	1	1								1	1	
group				1						1																		1				1		1										
consider																																1	1											
among																																												
game	1				1	1	1							1										1					1															
point							1	1		1	1					1		1				1		1	1	1			1		1		1	1		1								
period											1																		1															
support					1		1			1												1															1				1	1		
war					1																						1							1										
music					1					1	1																																	
down	1		1		1	1			1									1	1															1		1			1					
million	1																							1																				
important	1																																											
control					1		1	1			1								1						1							1										1		
should																																												
take					1																										1	1		1		1			1	1	1	1		
day																			1								1		1															
family															1																													
language										1	1																																	
last	1		1		1		1																	1	1																		1	
original	1									1																																		
result												1																			1												1	
political	1	1																																										
line					1		1			1	1				1	1				1						1					1					1							1	
member															1				1						1																			
case							1			1	1	1							1					1			1													1				
see																1																1		1		1			1	1		1		
single	1				1																															1								
just	1		1																																									
process				1					1	1																					1	1										1		
along			1																																									
similar	1																																											
follow																															1	1							1			1	1	
we																																												
although																																												
right	1		1		1			1	1						1	1						1																	1			1		
either			1																																									
publish																																	1				1							
local	1	1					1																																					
population					1					1					1									1																				
never			1																																									
information								1		1	1																																	
home	1	1	1				1									1											1												1			1		
every	1																																											
various																																												
modern	1										1								1																									
further	1		1																																									
development					1						1	1				1							1				1																	
per																																												
how																																												
lead					1		1	1		1	1					1								1		1		1					1						1				1	
possible	1									1									1																									
military	1	1													1																													
popular	1																																											
term										1	1																		1				1											
though			1																																									
history										1	1																		1															
generally			1																																									
you																																												
off	1		1																																									
rather			1																																									
man							1									1			1															1								1		
law					1					1	1				1																													
develop																															1			1		1	1			1				
hold							1	1																						1		1		1		1	1					1	1	
human	1	1																																										
production					1						1																																	
body							1	1	1		1				1			1																									1	
general	1									1									1														1											
light	1						1	1		1	1					1			1	1							1				1													
sometimes			1																																									
field					1					1					1	1				1												1	1	1										
come																															1	1							1	1			1	
above	1		1								1																																	
available	1																																											
book							1				1				1																	1										1		
others																																												
next			1																																									
create																																					1					1		
show					1						1																						1	1						1				
himself																																												
write																																	1				1							
die							1																								1			1		1		1		1				
word											1													1																				
play					1						1																1			1				1	1	1	1		1			1	1	
again			1																																									
great	1																		1																									
service					1		1								1				1												1											1		
age								1																					1		1													
child																			1																									
level	1						1	1		1																					1		1	1			1							
release					1		1																1														1				1			
continue																															1		1										1	
five	1																							1																				
species										1					1																													
energy								1												1							1																	
require																																												
change					1		1					1								1		1			1						1													
mean	1									1																						1	1										1	
team															1																			1										
theory										1																																		
produce														1																							1			1				
build																															1	1					1					1		
design					1		1			1																						1					1							
role					1																																							
addition					1		1									1								1																				
well-nigh																																												
side	1						1		1	1	1			1	1	1																		1										
position					1			1		1						1																							1					
able	1																																											
Delaware																																												
land																		1	1			1																	1		1			
total																															1		1										1	
range							1								1	1		1																	1	1							1	
national	1	1																	1																									
space				1							1					1										1													1					
social	1	1																																										
version					1					1	1																																	
season																													1		1									1				
force								1							1					1													1			1								
air								1			1					1												1			1		1											
allow																																1	1								1			
good	1							1																																				
type							1			1	1				1																	1	1											
itself																																												
receive																															1	1			1	1					1	1		
woman																			1																									
low	1		1					1											1								1																	
throughout			1																																									
standard	1						1				1											1		1																				
little	1		1																					1																				
least	1		1							1																																		
free	1														1																					1						1		
size	1							1																			1	1			1	1				1								
thus			1																																									
school							1			1					1														1										1			1		
specially			1																																									
old	1																												1															
upon																																												
particular	1									1	1																																	
effect								1		1	1																1										1					1		
provide																															1		1		1						1			
certain	1																																											
together	1		1																																									
present	1										1											1							1				1								1		1	
always			1																																									
short	1		1				1																																					
third	1		1								1														1																			
describe																																	1											
establish																																1					1					1		
natural	1				1						1								1																									
once			1																																									
month																													1															
rate																						1			1				1			1											1	
six	1																							1																				
hand					1	1	1		1	1	1				1	1			1					1															1					
typically			1																																									
value								1		1												1							1			1												
final	1											1																																
average	1									1															1							1										1	1	
instead																																												
current	1											1								1																								
international	1														1																													
program					1					1	1																						1				1							
character								1		1	1								1								1									1								
increase					1			1				1											1								1													
surface	1						1			1						1		1																					1					
across			1																																									
think										1																					1	1					1							
company															1												1																1	
economic	1	1																																										
significant	1																																											
function					1			1							1										1											1								
go	1				1																								1		1				1				1			1	1	
return					1							1										1											1			1			1		1			
fact										1	1																1																	
study							1			1	1								1													1								1				
below			1																																									
full	1																														1					1								
source							1			1	1												1									1									1			
lose																																		1				1		1	1			
person				1					1		1																																	
research					1																											1	1											
individual	1																		1																									
strong	1																																											
structure							1	1	1	1																					1													
party												1			1				1																							1		
run					1			1				1												1			1		1		1					1	1		1		1	1	1	
open	1									1		1				1															1			1		1				1		1	1	
cause											1	1																									1							
aircraft							1																																					
away	1		1																																									
far	1		1																																									
region										1						1								1																				
need																		1									1								1									
food				1						1				1																														
outside	1		1													1																												
start					1			1				1				1																		1			1		1			1		
material	1						1				1								1									1																
cannot																																												
half	1		1																										1															
head						1	1		1		1				1	1		1	1	1				1			1									1			1			1	1	
market					1										1																										1			
near	1		1																																									
record					1						1											1		1									1							1				
traditional	1																																											
special	1										1			1																														
style						1				1	1										1												1				1							
send																																	1			1			1					
story											1																																	
player																			1																									
top	1						1	1								1													1		1					1			1		1		1	
themselves																																												
model					1		1			1									1																		1			1				
band							1	1			1				1																					1								
help																														1	1											1	1	
add																															1	1	1										1	
event				1																1							1																	
network							1								1																		1											
limited	1																																											
nature								1		1								1	1																									
army															1																													
former	1																								1																			
father																			1																									
close	1		1																												1		1			1			1	1		1	1	
view					1			1		1						1																								1				
win												1																						1										
specific	1	1					1																																					
element																1										1	1	1																
practice					1					1																																1		
pressure								1		1										1							1																	
introduce																																1	1				1							
move					1																										1		1	1				1	1		1	1		
whether																																												
religious	1																		1																									
put																																			1	1	1			1				
official	1	1																	1																									
movement					1		1				1	1			1																													
my																																												
student																			1																									
trade					1																																				1		1	
method										1																																		
attack					1																		1				1			1	1		1	1										
problem											1																1																	
art					1		1			1																																		
finally			1																																									
evidence										1	1																																	
refer																																1	1						1				1	
remain																																											1	
influence					1			1		1									1	1																						1		
success					1							1															1																	
bring																															1		1			1	1	1	1					
believe																																1												
enough			1																					1																				
feature							1		1	1	1																																	
young	1					1									1				1																									
white	1						1	1										1	1																									
culture					1					1					1																1													
action					1		1	1			1																1															1		
according	1																																											
condition										1	1																1			1	1											1		
performance					1						1																																	
amount								1																																			1	
black	1						1	1											1																									
business					1					1					1																													
difficult	1																																											
temperature								1		1																																		
education					1			1		1																																		
real	1																					1		1																				
money																						1																						
locate																																									1			
directly			1																																									
sound	1							1		1		1						1		1																				1				
ground							1			1						1																	1			1			1					
therefore			1																																									
get					1																										1	1	1			1		1	1	1	1			
private	1																		1																									
particularly			1																																									
television							1				1																																	
subject	1						1				1								1															1						1				
south	1		1													1									1																			
